Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.17.237.22-52.114.32.187-56210-443-6,172.17.237.22,56210,52.114.32.187,443,6,22-12-2021 13:04,6655906,1,1,0,0,0,0,0,0,0,0,0,0,0,0.300485013,6655906,0,6655906,6655906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.150242506,0.150242506,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-35.213.12.39-49406-443-6,35.213.12.39,443,172.17.237.22,49406,6,22-12-2021 13:04,8,1,1,0,31,0,0,0,0,31,31,31,0,3875000,250000,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,125000,125000,0,31,20.66666667,17.89785834,320.3333333,0,0,0,1,1,0,0,0,1,31,0,31,0,0,0,0,0,0,1,0,1,31,-1,260,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-23.32.177.106-58562-443-6,172.17.237.22,58562,23.32.177.106,443,6,22-12-2021 13:04,7168099,1,1,0,0,0,0,0,0,0,0,0,0,0,0.279014004,7168099,0,7168099,7168099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.139507002,0.139507002,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,906,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-23.32.177.106-58568-443-6,172.17.237.22,58568,23.32.177.106,443,6,22-12-2021 13:04,7168120,1,1,0,0,0,0,0,0,0,0,0,0,0,0.279013186,7168120,0,7168120,7168120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.139506593,0.139506593,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,457,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-23.32.177.106-58560-443-6,172.17.237.22,58560,23.32.177.106,443,6,22-12-2021 13:04,7168135,1,1,0,0,0,0,0,0,0,0,0,0,0,0.279012602,7168135,0,7168135,7168135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.139506301,0.139506301,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,614,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-23.32.177.106-58566-443-6,172.17.237.22,58566,23.32.177.106,443,6,22-12-2021 13:04,7168150,1,1,0,0,0,0,0,0,0,0,0,0,0,0.279012018,7168150,0,7168150,7168150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.139506009,0.139506009,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,737,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-23.32.177.106-58564-443-6,172.17.237.22,58564,23.32.177.106,443,6,22-12-2021 13:04,7168165,1,1,0,0,0,0,0,0,0,0,0,0,0,0.279011435,7168165,0,7168165,7168165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.139505717,0.139505717,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,642,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-23.32.177.106-58558-443-6,172.17.237.22,58558,23.32.177.106,443,6,22-12-2021 13:04,7168184,1,1,0,0,0,0,0,0,0,0,0,0,0,0.279010695,7168184,0,7168184,7168184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.139505348,0.139505348,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,732,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-54.175.36.162-53438-443-6,54.175.36.162,443,172.17.237.22,53438,6,22-12-2021 13:04,11,2,1,31,46,31,0,15.5,21.92031022,46,46,46,0,7000000,272727.2727,5.5,4.949747468,9,2,2,2,0,2,2,0,0,0,0,0,0,1,0,0,40,20,181818.1818,90909.09091,0,46,30.75,21.68524844,470.25,0,0,0,1,1,0,0,0,0,41,15.5,46,0,0,0,0,0,0,2,31,1,46,-1,246,1,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-54.175.36.162-53438-443-6,172.17.237.22,53438,54.175.36.162,443,6,22-12-2021 13:04,729,2,1,0,0,0,0,0,0,0,0,0,0,0,4115.226337,364.5,501.3387079,719,10,719,719,0,719,719,0,0,0,0,0,0,0,0,0,40,20,2743.484225,1371.742112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
142.250.194.129-172.17.237.22-443-36362-6,172.17.237.22,36362,142.250.194.129,443,6,22-12-2021 13:05,367,0,2,0,0,0,0,0,0,0,0,0,0,0,5449.591281,367,0,367,367,0,0,0,0,0,367,367,0,367,367,0,0,0,0,0,40,0,5449.591281,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-172.67.14.139-55376-443-6,172.17.237.22,55376,172.67.14.139,443,6,22-12-2021 13:05,287,0,2,0,0,0,0,0,0,0,0,0,0,0,6968.641115,287,0,287,287,0,0,0,0,0,287,287,0,287,287,0,0,0,0,0,40,0,6968.641115,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-69.173.158.65-38814-443-6,172.17.237.22,38814,69.173.158.65,443,6,22-12-2021 13:05,417,0,2,0,0,0,0,0,0,0,0,0,0,0,4796.16307,417,0,417,417,0,0,0,0,0,417,417,0,417,417,0,0,0,0,0,40,0,4796.16307,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,245,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-35.190.60.146-54816-443-6,172.17.237.22,54816,35.190.60.146,443,6,22-12-2021 13:05,257,0,2,0,0,0,0,0,0,0,0,0,0,0,7782.101167,257,0,257,257,0,0,0,0,0,257,257,0,257,257,0,0,0,0,0,40,0,7782.101167,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-35.190.60.146-54818-443-6,172.17.237.22,54818,35.190.60.146,443,6,22-12-2021 13:05,460,0,2,0,0,0,0,0,0,0,0,0,0,0,4347.826087,460,0,460,460,0,0,0,0,0,460,460,0,460,460,0,0,0,0,0,40,0,4347.826087,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-104.18.101.194-34930-443-6,172.17.237.22,34930,104.18.101.194,443,6,22-12-2021 13:05,301,0,2,0,0,0,0,0,0,0,0,0,0,0,6644.518272,301,0,301,301,0,0,0,0,0,301,301,0,301,301,0,0,0,0,0,40,0,6644.518272,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-13.35.191.104-43462-443-6,172.17.237.22,43462,13.35.191.104,443,6,22-12-2021 13:05,329,0,2,0,0,0,0,0,0,0,0,0,0,0,6079.027356,329,0,329,329,0,0,0,0,0,329,329,0,329,329,0,0,0,0,0,40,0,6079.027356,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-99.86.47.200-54526-443-6,172.17.237.22,54526,99.86.47.200,443,6,22-12-2021 13:05,433,0,2,0,0,0,0,0,0,0,0,0,0,0,4618.937644,433,0,433,433,0,0,0,0,0,433,433,0,433,433,0,0,0,0,0,40,0,4618.937644,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,Normal
132.148.80.84-172.17.237.22-443-38970-6,172.17.237.22,38970,132.148.80.84,443,6,22-12-2021 13:05,303,0,2,0,0,0,0,0,0,0,0,0,0,0,6600.660066,303,0,303,303,0,0,0,0,0,303,303,0,303,303,0,0,0,0,0,40,0,6600.660066,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-103.43.90.54-41252-443-6,172.17.237.22,41252,103.43.90.54,443,6,22-12-2021 13:05,206943,1,1,0,0,0,0,0,0,0,0,0,0,0,9.664496987,206943,0,206943,206943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.832248494,4.832248494,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-104.254.148.166-41766-443-6,172.17.237.22,41766,104.254.148.166,443,6,22-12-2021 13:05,207357,1,1,0,0,0,0,0,0,0,0,0,0,0,9.645201271,207357,0,207357,207357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.822600636,4.822600636,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-104.254.149.101-44500-443-6,172.17.237.22,44500,104.254.149.101,443,6,22-12-2021 13:05,207604,1,1,0,0,0,0,0,0,0,0,0,0,0,9.633725747,207604,0,207604,207604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.816862874,4.816862874,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-103.43.90.54-41252-443-6,172.17.237.22,41252,103.43.90.54,443,6,22-12-2021 13:05,435993,1,1,0,0,0,0,0,0,0,0,0,0,0,4.587229611,435993,0,435993,435993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.293614806,2.293614806,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-104.254.148.166-41766-443-6,172.17.237.22,41766,104.254.148.166,443,6,22-12-2021 13:05,436016,1,1,0,0,0,0,0,0,0,0,0,0,0,4.586987633,436016,0,436016,436016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.293493817,2.293493817,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-104.254.149.101-44500-443-6,172.17.237.22,44500,104.254.149.101,443,6,22-12-2021 13:05,436039,1,1,0,0,0,0,0,0,0,0,0,0,0,4.586745681,436039,0,436039,436039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.293372841,2.293372841,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-52.119.187.0-50858-443-6,52.119.187.0,443,172.17.237.22,50858,6,22-12-2021 13:05,3,1,1,0,31,0,0,0,0,31,31,31,0,1.03E+07,666666.6667,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,333333.3333,333333.3333,0,31,20.66666667,17.89785834,320.3333333,0,0,0,1,1,0,0,0,1,31,0,31,0,0,0,0,0,0,1,0,1,31,-1,442,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-103.43.90.54-41252-443-6,172.17.237.22,41252,103.43.90.54,443,6,22-12-2021 13:05,1663914,1,1,0,0,0,0,0,0,0,0,0,0,0,1.201985199,1663914,0,1663914,1663914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.600992599,0.600992599,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-104.254.148.166-41766-443-6,172.17.237.22,41766,104.254.148.166,443,6,22-12-2021 13:05,1663925,1,1,0,0,0,0,0,0,0,0,0,0,0,1.201977253,1663925,0,1663925,1663925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.600988626,0.600988626,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-104.254.149.101-44500-443-6,172.17.237.22,44500,104.254.149.101,443,6,22-12-2021 13:05,1663941,1,1,0,0,0,0,0,0,0,0,0,0,0,1.201965695,1663941,0,1663941,1663941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.600982847,0.600982847,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-3.109.226.68-57544-443-6,172.17.237.22,57544,3.109.226.68,443,6,22-12-2021 13:04,14134033,0,5,0,77,0,0,0,0,46,0,15.4,21.74396468,5.447843514,0.353756072,3533508.25,7066719.836,1.41E+07,2,0,0,0,0,0,1.41E+07,3533508.25,7066719.836,1.41E+07,2,0,0,0,0,0,100,0,0.353756072,0,46,12.83333333,20.43934115,417.7666667,0,0,0,0,1,0,0,0,0,15.4,0,15.4,0,0,0,0,0,0,0,0,5,77,-1,245,0,0,435,0,435,435,1.41E+07,0,1.41E+07,1.41E+07,Normal
172.17.237.22-3.109.226.68-57544-443-6,172.17.237.22,57544,3.109.226.68,443,6,22-12-2021 13:05,193,1,1,0,0,0,0,0,0,0,0,0,0,0,10362.6943,193,0,193,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5181.34715,5181.34715,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-3.114.95.219-35180-443-6,172.17.237.22,35180,3.114.95.219,443,6,22-12-2021 13:04,15161473,0,4,0,46,0,0,0,0,46,0,11.5,23,3.034005997,0.263826608,5053824.333,8753061.365,1.52E+07,9,0,0,0,0,0,1.52E+07,5053824.333,8753061.365,1.52E+07,9,0,0,0,0,0,80,0,0.263826608,0,46,9.2,20.57182539,423.2,0,0,0,0,1,0,0,0,0,11.5,0,11.5,0,0,0,0,0,0,0,0,4,46,-1,245,0,0,475,0,475,475,1.52E+07,0,1.52E+07,1.52E+07,Normal
172.17.237.22-3.114.95.219-35180-443-6,172.17.237.22,35180,3.114.95.219,443,6,22-12-2021 13:05,283,1,1,0,0,0,0,0,0,0,0,0,0,0,7067.137809,283,0,283,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3533.568905,3533.568905,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-104.208.16.88-52044-443-6,172.17.237.22,52044,104.208.16.88,443,6,22-12-2021 13:04,18884034,1,2,0,0,0,0,0,0,0,0,0,0,0,0.158864361,9442017,1.34E+07,1.89E+07,557,0,0,0,0,0,557,557,0,557,557,0,0,0,0,20,40,0.052954787,0.105909574,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,245,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-13.107.3.128-43938-443-6,172.17.237.22,43938,13.107.3.128,443,6,22-12-2021 13:04,19619972,1,2,0,0,0,0,0,0,0,0,0,0,0,0.152905417,9809986,1.39E+07,1.96E+07,439,0,0,0,0,0,439,439,0,439,439,0,0,0,0,20,40,0.050968472,0.101936945,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,247,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-13.107.246.68-48900-443-6,172.17.237.22,48900,13.107.246.68,443,6,22-12-2021 13:04,19620007,1,2,0,0,0,0,0,0,0,0,0,0,0,0.152905144,9810003.5,1.39E+07,1.96E+07,446,0,0,0,0,0,446,446,0,446,446,0,0,0,0,20,40,0.050968381,0.101936763,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,247,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-13.107.246.68-48904-443-6,172.17.237.22,48904,13.107.246.68,443,6,22-12-2021 13:04,19620104,1,2,0,0,0,0,0,0,0,0,0,0,0,0.152904388,9810052,1.39E+07,1.96E+07,431,0,0,0,0,0,431,431,0,431,431,0,0,0,0,20,40,0.050968129,0.101936259,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,245,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-40.77.226.250-36892-443-6,172.17.237.22,36892,40.77.226.250,443,6,22-12-2021 13:04,19236289,1,2,0,0,0,0,0,0,0,0,0,0,0,0.155955236,9618144.5,1.36E+07,1.92E+07,426,0,0,0,0,0,426,426,0,426,426,0,0,0,0,20,40,0.051985079,0.103970158,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-103.43.90.54-41252-443-6,172.17.237.22,41252,103.43.90.54,443,6,22-12-2021 13:05,6655860,1,1,0,0,0,0,0,0,0,0,0,0,0,0.30048709,6655860,0,6655860,6655860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.150243545,0.150243545,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-104.254.148.166-41766-443-6,172.17.237.22,41766,104.254.148.166,443,6,22-12-2021 13:05,6655880,1,1,0,0,0,0,0,0,0,0,0,0,0,0.300486187,6655880,0,6655880,6655880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.150243093,0.150243093,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
